"","C.AA.us","C.AAPL.us","C.AIG.us","C.AXP.us","C.BA.us","C.C.us","C.CAT.us","C.DD.us","C.DIS.us","C.GE.us","C.GM.us","C.HD.us","C.HON.us","C.HPQ.us","C.IBM.us","C.INTC.us","C.JNJ.us","C.JPM.us","C.KO.us","C.MCD.us","C.MMM.us","C.MO.us","C.MRK.us","C.MSFT.us","C.PFE.us","C.PG.us","C.UTX.us","C.VZ.us","C.WMT.us","C.XOM.us","C.^DJI"
"2007-04-24",33.95,93.24,69.42,60.91,93.67,52.81,72.81,49.86,34.91,34.76,NA,39.31,52.9,41.65,98.49,21.94,64.49,52.16,51.71,48.47,77,69.92,51.6,28.79,26.15,63.73,67.77,37.6,48.69,78.6,12953.9
"2007-04-25",35.76,95.35,69.98,62.32,94.69,53.8,73.23,49.97,35.32,35.41,NA,39.5,53.99,41.87,101.46,22.26,64.68,52.82,51.74,48.63,76.97,70.47,52.39,28.99,26.32,63.53,68.04,37.65,48.81,79.92,13089.9
"2007-04-26",35.81,98.84,69.79,62.14,94.26,53.56,73,49.58,35.17,35.84,NA,38.99,53.69,42.04,100.9,22.09,64.24,52.94,52.08,49.23,80.45,69.33,52.43,29.1,26.72,62.99,67.65,37.97,48.7,80.55,13105.5
"2007-04-27",35.99,99.92,70.14,62.14,94.02,53.37,73.76,49.69,34.98,36.84,NA,38.47,54.89,42.29,101.17,21.87,64.17,52.55,52.06,48.95,81.55,69.6,51.86,30.12,26.61,62.98,67.69,37.89,48.34,80.36,13120.9
"2007-04-30",35.49,99.8,69.91,60.67,93,53.62,72.62,49.17,34.98,36.86,NA,37.87,54.18,42.14,102.21,21.5,64.22,52.1,52.19,48.28,82.77,68.92,51.44,29.94,26.46,64.4,67.13,38.18,47.92,79.38,13062.9
"2007-05-01",34.76,99.47,70.03,61.32,93.23,54.2,73.24,49.36,35.47,37.1,NA,38.43,55.08,42.92,103.17,21.8,64.56,52.26,52.63,49.14,83.61,68.81,50.98,30.4,26.59,62.96,67.73,38.51,48.33,79.66,13136.1
"2007-05-02",34.88,100.39,70.42,62.74,93.83,54.3,73.4,50.54,35.7,37.31,NA,38.75,55.5,42.93,102.22,21.93,64.48,52.55,52.71,50.02,84.42,69.11,51.23,30.61,26.6,62.37,68.4,39.6,48.28,79.82,13211.9
"2007-05-03",35.06,100.4,70.65,63.46,93.85,53.95,73.36,50.88,35.69,37.34,NA,39.06,56,42.83,102.8,21.74,64.32,52.7,52.91,49.91,84.07,69.77,51.55,30.97,26.87,62,67.93,41.07,48.36,80.68,13241.4
"2007-05-04",35.66,100.81,70.85,63.39,93.61,54.09,73.1,51.24,35.85,37.15,NA,38.9,56.12,43.79,102.96,21.9,64.48,52.63,53.21,49.92,84.21,69.36,51.92,30.56,27.08,62.41,68,40.66,48.27,80.55,13264.6
"2007-05-07",38.63,103.92,71.6,63.27,94.56,53.88,72.67,51.63,36.06,37.24,NA,38.84,55.33,43.8,103.16,21.96,64.26,52.73,53.61,49.5,84.93,69.18,52.03,30.71,27.38,62.18,69.05,40.83,48.61,80.83,13313
"2007-05-08",39.5,105.06,71.75,63.27,94.21,53.72,73.43,51.56,36.55,37.08,NA,38.63,55.79,45.01,103.29,22.15,63.7,52.45,53.07,49.32,84.78,68.66,52.24,30.75,27.35,61.75,68.34,40.62,48.1,81.38,13309.1
"2007-05-09",38.73,106.88,72,63.28,94.08,54.12,74.75,51.61,36.12,37.26,NA,39.18,56.81,44.93,104.38,22.47,64.11,53.2,53.11,49.84,85.36,68.57,52.05,30.78,27.16,62.01,68.77,41.16,47.93,81.42,13362.9
"2007-05-10",37.63,107.34,72.2,62.75,92.8,53.2,73.81,50.61,35.69,36.78,NA,38.79,56.86,44.67,104.68,22.21,62.5,52,52.48,50,84.65,68.04,51.08,30.58,26.8,61.49,68.02,40.78,47.75,79.39,13215.1
"2007-05-11",38.03,108.74,72.58,62.97,93.4,53.11,74.88,50.42,36.07,36.97,NA,38.86,57.79,45.24,105.98,22.28,62.27,52.15,52.69,50.65,85.55,68.59,52,30.89,27.04,61.65,68.39,41.35,47.78,81.23,13326.2
"2007-05-14",38.35,109.36,72.47,62.42,93.56,52.86,76.3,50.46,35.98,36.6,NA,39.01,58.7,45.02,105.57,22.12,62.61,51.83,52.6,50.63,84.83,68.83,52.08,30.97,27.23,61.72,68.25,41.6,47.84,81.25,13346.8
"2007-05-15",39.29,107.52,72.07,63.02,94.34,52.79,76.01,50.9,35.94,36.64,NA,38.3,58.01,44.75,104.83,22.01,61.82,52.03,52.46,51.27,86.17,69.41,52.62,30.9,27.1,62.07,68.5,42.54,47.62,81.13,13383.8
"2007-05-16",39.04,107.34,72.46,63.98,95.34,54.91,75.95,51.5,36.01,36.83,NA,38.37,58.14,45.21,105.87,22.18,63.05,52.98,52.74,51.97,86.01,69.99,52.69,31.07,27.32,63.32,68.48,42.74,47.18,81.45,13487.5
"2007-05-17",39.15,109.44,72.2,63.56,96.79,54.8,74.84,51.91,35.99,36.53,NA,38.3,58.22,44.87,105.31,22.23,62.74,52.56,52.2,52.26,86.67,69.7,52.46,30.98,27.36,63.37,69.37,42.14,47.11,81.8,13476.7
"2007-05-18",39.73,110.02,72.22,63.96,96.63,55,74.77,52.38,36.02,36.96,NA,38.88,58.7,44.58,107.99,22.7,63.42,52.54,52.63,52.33,86.9,69.95,53.25,30.83,27.44,63.48,69.19,42.59,47.27,83.26,13556.5
"2007-05-21",38.99,111.98,71.99,64.27,96.9,54.84,74.85,52.07,36.44,37.1,NA,38.63,58.3,45.22,107.04,22.63,63.52,52.56,51.91,52.27,87.06,70.85,53.79,31.05,27.42,63.27,68.92,42.54,46.62,83.59,13542.9
"2007-05-22",38.95,113.54,71.94,64.27,96.48,55.08,75.51,52.04,36.27,37.34,NA,38.53,56.98,45.58,106.7,22.99,63.58,52.29,51.48,52.5,87.78,71.68,54.15,30.69,27.37,63,69.21,42.61,46.54,82.77,13540
"2007-05-23",40.37,112.89,71.91,63.99,95.57,55.01,76.03,52.11,36.48,37.6,NA,38.78,56.54,45.63,105.58,22.67,63.81,51.99,51.33,51.57,87.94,71.39,54.35,30.58,27.34,63.1,68.85,42.67,46.33,82.99,13525.7
"2007-05-24",40.21,110.69,71.54,64.02,97.42,54.93,75.43,51.34,35.84,37.38,NA,38.95,55.99,45.4,103.95,21.97,63.48,51.59,51.24,50.96,87.15,70.47,53.75,30.17,27.28,62.87,68.26,42.54,46.65,82.28,13441.1
"2007-05-25",40.9,113.62,71.95,63.63,98.25,55.12,75.71,51.46,36.03,37.56,NA,38.38,56.93,45.62,105.18,22.16,63.19,51.64,51.89,50.9,87.35,70.78,53.7,30.48,27.53,62.96,68.62,42.5,46.91,83.51,13507.3
"2007-05-29",40.37,114.35,71.89,64.34,98.5,54.91,75.75,51.25,35.59,37.4,NA,38.65,57.35,45.56,105.91,22.3,63.05,51.82,52.18,50.61,87.31,71.34,53.4,30.79,27.56,63.65,68.99,43.2,46.94,82.62,13521.3
"2007-05-30",41.24,118.77,72.09,65,100.55,55.2,78.48,51.72,35.91,37.73,NA,38.7,57.73,45.67,106.93,22.08,63.22,52.06,53.05,50.23,87.93,71.49,52.71,31.11,27.41,63.85,69.43,43.82,47.12,84,13633.1
"2007-05-31",41.28,121.19,72.34,64.98,100.59,54.49,78.58,52.32,35.44,37.58,NA,38.87,57.91,45.71,106.6,22.18,63.27,51.83,52.99,50.55,87.96,71.1,52.45,30.69,27.49,63.55,70.55,43.53,47.6,83.17,13627.6
"2007-06-01",41.46,118.4,72.65,65.07,99.83,54.51,78.14,53.1,35.24,37.45,NA,39.21,58.8,45.81,106.54,22.36,63.41,51.9,52.8,50.95,88.43,71.82,52.14,30.59,27.68,63.48,70.78,43.01,49.47,84.22,13668.1
"2007-06-04",40.99,121.33,72.55,65.02,99.98,54.15,78.29,53.19,35.7,37.81,NA,39.8,58.62,45.98,106.23,22.16,63.6,51.57,52.67,51.1,88.07,71.8,51.75,30.72,27.52,63.19,70.82,42.95,51.21,84.22,13676.3
"2007-06-05",40.59,122.67,72.32,64.79,99.5,53.9,78.65,52.24,35.27,37.4,NA,38.86,58.18,45.92,105.84,21.96,63.31,51.22,52.32,50.85,87.46,70.68,51.44,30.58,27.28,63.46,70.75,42.76,50.52,84.26,13595.5
"2007-06-06",39.85,123.64,72.17,63.74,98.29,53.33,78.68,50.98,34.91,37.29,NA,38.3,57.34,46.03,102.41,21.49,62.9,50.56,52,50.64,86.62,70.81,50.76,30.29,26.79,63.19,69.92,42.92,50.75,83.62,13465.7
"2007-06-07",38.93,124.07,71.38,62.74,96.84,52.52,77.31,50.37,34.26,36.76,NA,37.66,56.4,45.41,101.8,21.31,62,49.82,51.38,50.21,84.88,69.55,50.34,29.62,26.29,62.32,68.87,42.59,49.76,81.96,13266.7
"2007-06-08",39.66,124.49,71.53,63.04,98.19,53.33,78.52,51.13,34.2,37.32,NA,37.95,57.38,45.78,103.07,21.83,62.13,50.41,51.67,51.41,85.94,70.3,50.14,30.05,26.52,63.07,70.23,43.07,50.08,82.68,13424.4
"2007-06-11",39.3,120.19,71.65,63.06,97.55,53.47,78.75,50.73,34.18,37.46,NA,37.71,57.02,45.89,103.22,21.93,62.27,50.43,51.63,51.25,85.3,70.22,51.05,30.02,26.37,63.05,70.18,43.51,49.81,83.06,13425
"2007-06-12",39.34,120.38,71.54,62.12,96.48,52.6,78.08,50.11,33.56,37.05,NA,37.36,56.64,45.06,102.34,22.2,61.83,49.35,51.14,51.48,85.04,70.14,50.22,29.85,26.11,62.16,69.67,43.08,48.91,82,13295
"2007-06-13",40.48,117.5,72.51,63.15,98.47,53.68,79.93,50.92,33.4,37.64,NA,37.73,57.55,45.5,103.12,22.67,62.18,50.29,51.36,52.19,87.19,70.26,50.67,30.39,26.35,62.37,70.73,42.9,49.5,83.35,13482.3
"2007-06-14",41.16,118.75,72.34,63.14,98.97,53.67,80.73,50.5,33.79,37.8,NA,37.79,58.24,45.67,103.85,23.23,62.45,50.32,51.31,52.25,87.42,70.47,50.23,30.52,26.39,62.42,71.28,43.22,49.28,84.77,13553.7
"2007-06-15",41.6,120.5,72.54,63.77,98.15,53.98,81.11,51.47,34.4,38.12,NA,37.95,58.87,45.71,105.09,24.24,62.77,50.56,51.58,52.17,87.67,70.67,50.73,30.49,26.47,62.57,72.01,42.99,49.34,85.94,13639.5
"2007-06-18",41.88,125.09,72.5,63.14,97.4,53.96,81.85,51.75,34.54,38.07,NA,37.96,57.81,45.89,105.33,24.17,62.33,50.43,51.76,52.4,87.62,70.16,50.63,30.51,26.26,61.77,72.19,42.55,49.11,86.36,13613
"2007-06-19",41.58,123.66,72.61,63.15,96.92,54.26,82.49,52.21,34.76,39.29,NA,38.27,57.87,45.9,106.5,24.1,62.42,50.85,51.39,52.48,87.82,69.52,50.32,30.46,26.21,61.82,71.72,43.07,48.81,85.84,13635.4
"2007-06-20",40.25,121.55,72.02,62.05,96.08,53.44,81.38,52.16,34.19,39.07,NA,40.03,56.55,45.04,106,23.94,62.04,49.46,51.49,51.33,87.08,68.27,49.26,30.01,25.71,61.94,71.83,42.54,48.59,82.82,13489.4
"2007-06-21",40.34,123.9,72.05,62.66,97.2,53.66,81.47,52.25,34.19,38.8,NA,39.95,56.38,45.5,106.6,24.29,62.11,49.84,52.09,51.07,87.41,68.58,49.3,30.22,25.92,61.88,71.95,42.44,48.39,84.3,13545.8
"2007-06-22",40,123,71.25,61.79,95.92,52.41,80.9,52.3,34.14,38.24,NA,39.36,55.68,45.18,104.44,23.7,60.73,48.72,51.62,50.42,86.43,68.2,48.55,29.49,25.38,61.03,71.38,41.63,47.83,82.52,13360.2
"2007-06-25",39.41,122.34,71.11,61.8,95.57,51.69,80.7,51.45,34.06,38.21,NA,39.18,55.68,44.94,105.1,23.48,61.11,48.36,51.77,51.3,86.25,68.75,48.34,29.49,25.4,61.08,71.27,41.5,47.82,82.37,13352
"2007-06-26",38.7,119.65,70.94,61.33,94.98,51.15,80.29,50.63,34.06,38.02,NA,39.15,56.01,44.64,105.33,23.38,61.65,48.6,51.95,51.75,86.08,69.63,49.12,29.52,25.59,61.19,70.57,41.07,47.97,81.82,13337.7
"2007-06-27",38.97,121.89,70.6,61.53,94.65,51.81,79.51,51.18,34.27,38.06,NA,39.76,56.31,45.19,105.43,23.79,61.45,49.24,52.44,51.34,87.13,70.2,50.33,29.87,25.61,61.43,71.5,40.92,48.46,83.48,13427.7
"2007-06-28",39.3,120.56,70.45,61.22,95.16,51.81,79.09,50.93,33.85,38.12,NA,39.52,56.38,44.61,105.95,23.92,61.5,48.96,52.63,50.85,86.85,69.92,50.48,29.83,25.63,61.36,71.09,41.07,48.21,83.6,13422.3
"2007-06-29",40.53,122.04,70.03,61.18,96.16,51.29,78.3,50.84,34.14,38.28,NA,39.35,56.28,44.62,105.25,23.74,61.62,48.45,52.31,50.76,86.79,70.14,49.8,29.47,25.57,61.19,70.93,41.17,48.11,83.88,13408.6
"2007-07-02",41.09,121.26,70.2,61.79,96.77,51.64,80.45,51.8,34.52,38.26,NA,39.37,57.08,45.19,105.01,24.27,61.85,49.15,52.56,51.38,88,70.9,49.57,29.74,25.73,61.74,72.46,41.58,48.33,84.82,13535.4
"2007-07-03",41.5,127.17,70.44,62.42,97.65,51.86,77.99,52.13,34.54,38.7,NA,39.2,57.2,45.58,106.58,24.59,61.95,49.34,52.9,51.4,87.94,70.99,49.83,30.02,25.81,61.79,72.47,42.12,48.47,85.36,13577.3
"2007-07-05",41.35,132.75,70.27,61.38,98.36,51.5,77.49,52.06,34.63,38.54,NA,39.83,58.36,45.9,108.05,24.6,62.28,48.79,52.67,51.21,87.76,71.16,49.82,29.99,25.9,61.67,72.12,41.98,48.09,85.16,13565.8
"2007-07-06",41.66,132.3,70.08,61.51,98.88,51.7,78.81,51.97,34.49,38.48,NA,40.3,59.08,45.98,109.03,24.68,62.13,48.97,52.6,51.43,88.11,71.6,49.46,29.97,25.92,61.48,72.6,41.55,48.39,86.46,13611.7
"2007-07-09",42.36,130.33,70.23,62.44,99.9,51.6,79.83,52.05,34.46,38.62,NA,40.23,58.53,45.36,108.97,24.96,62.72,48.79,52.7,51.14,88.11,71.7,49.42,29.87,25.88,61.52,72.52,42.02,48.5,87.44,13650
"2007-07-10",41.66,132.35,68.93,60.3,100.25,51,81.22,51.21,33.89,37.9,NA,40.25,57.82,44.94,108.63,24.97,62.2,47.51,52.1,50.34,87.22,70.43,48.66,29.33,25.58,61.03,72.07,40.52,47.58,86.5,13501.7
"2007-07-11",42.43,132.39,68.64,60.28,100.12,51.41,82.17,51.18,33.98,38.2,NA,40.48,58.74,45.65,109.1,24.57,62.86,48.13,52.09,50.72,87.88,70.89,48.9,29.49,25.45,61.56,73,40.8,47.68,87.29,13577.9
"2007-07-12",45.29,134.07,69.31,63.33,100.78,52.84,84.09,51.5,34.25,39,NA,40.94,60.44,47.35,109.28,26,63.36,49.53,52.63,51.65,89.93,72.07,50.77,30.07,25.98,62.93,73.99,41.43,48.83,89.62,13861.7
"2007-07-13",47.35,137.73,69.55,62.83,101.88,52.52,85.13,51.55,34.37,39.5,NA,40.87,60.14,47.25,108.6,25.97,63.43,50.05,53.11,51.91,90.22,71.7,50.85,29.82,25.91,62.66,75,41.76,49.15,90.33,13907.2
"2007-07-16",46.77,138.1,69.79,61.88,102.07,52.19,85.9,52,34.47,40.12,NA,40.58,60.6,47.44,109.66,25.95,63.8,49.83,53.85,52.1,90.87,71.31,50.83,30.03,26.08,63.15,76.67,42.76,48.94,89.7,13951
"2007-07-17",46.61,138.91,69.66,64.74,102.05,52.46,86.47,53.3,34.68,40.71,NA,40.15,60.84,47.51,110.77,26.33,62.74,49.92,53.17,52.16,91.08,71.28,50.27,30.78,25.96,62.68,76.84,42.26,48.35,89.09,13971.5
"2007-07-18",46.45,138.12,69.5,65.05,101.82,51.6,86.23,53.35,34.6,40.45,NA,40.04,60.54,47.14,111.08,25.06,62.2,48.88,53.43,52.2,91.48,70.3,49.94,30.92,25.13,62.59,75.56,41.97,48.04,91.15,13918.2
"2007-07-19",44.62,140,69.66,65.55,102.48,51.13,86.98,53.14,34.47,40.71,NA,39.7,60.98,48.4,115.86,25.26,62.39,48.62,53.7,52.67,91.17,70.63,49.34,31.51,24.99,62.79,77.18,42.26,48.79,92.29,14000.4
"2007-07-20",43.08,143.75,69.04,64.51,103.86,50.73,83.2,52.62,34.34,40.12,NA,39.39,60.96,48.54,114.81,24.55,61.79,47.56,53.21,52.09,90.21,69.8,49.02,31.16,24.9,62.15,76.03,42.28,48.06,91.94,13851.1
"2007-07-23",42.45,143.7,68.85,64.66,104.04,50.86,82,53.26,35.03,40.82,NA,38.96,61.45,48.43,116.38,24.72,62,47.15,53.64,52.5,90.87,69.62,52.33,31.19,25.03,63.34,76.22,42.79,48.11,93.44,13943.4
"2007-07-24",41.25,134.89,67.71,61.17,103.8,49.31,81.66,49.9,34.75,40.22,NA,37.95,60.68,47.61,116.17,24.53,61.47,45.34,53.22,51.55,89.69,68.06,51.72,30.8,24.89,62.96,74.74,43.11,48.02,90.84,13717
"2007-07-25",40.91,137.26,68.16,61.73,107.23,49.21,80.5,49.19,34.93,40.42,NA,38.04,60.88,47.54,118.1,24.5,61.53,45.27,54.05,50.96,89.62,67.85,53.38,30.71,24.78,62.98,75.19,43.22,47.87,92.79,13785.1
"2007-07-26",38,146,66.62,60.26,103.7,47.81,78.29,47.75,34.08,39.53,NA,37.3,59.42,47.1,116.53,24,60.96,44.08,52.98,49.5,90.05,66.8,51.97,29.98,24.15,62.56,74.45,42.4,46.82,88.23,13473.6
"2007-07-27",37.41,143.85,65.36,58.55,103.71,46.97,76.02,46.82,33.74,38.79,NA,36.75,58.61,46.46,115.62,23.54,59.77,44.23,52.28,48.76,90.05,65.17,50.12,29.39,23.79,62.82,73.29,42,45.94,85.59,13265.5
"2007-07-30",38.25,141.43,65.21,60.14,105.54,47.19,77.04,47.05,34.01,39.27,NA,37.81,59.44,46.14,114.52,23.85,60.07,44.75,52.39,48.39,90.18,65.78,50.12,29.4,23.76,63.27,73.63,41.51,46.21,86.01,13358.3
"2007-07-31",38.2,131.76,64.18,58.54,103.43,46.57,78.8,46.73,33,38.76,NA,37.17,57.51,46.03,110.65,23.62,60.5,44.01,52.11,47.87,88.92,66.47,49.65,28.99,23.51,61.86,72.97,42.62,45.95,85.13,13212
"2007-08-01",37.95,135,64.57,59.63,104.53,46.85,80.13,47.33,33.83,38.95,NA,37.77,57.15,46.73,112.04,23.8,60.96,44.38,53.27,48.27,89.07,66.58,51.02,29.3,23.63,63.16,74.65,43.24,46.22,85.84,13362.4
"2007-08-02",37.88,136.49,63.81,60.91,105.93,47.24,80.67,47.14,34.36,39.03,NA,37.82,59.05,48.23,113.23,24.3,61.03,44.59,53.66,48.99,89.12,67.14,51.64,29.52,23.85,63.3,74.76,43.13,46.73,85.18,13463.3
"2007-08-03",36.18,131.85,61.64,57.49,104.24,45.72,78.96,46.35,33.9,38.06,NA,36.19,58.18,47.41,111.89,23.91,60.55,43.65,53.28,48.52,87.56,66.6,50.29,28.96,23.51,62.88,73.93,42.75,45.52,82.08,13181.9
"2007-08-06",35.67,135.25,64.56,60.23,104.34,48.35,81,47.64,34.3,39.1,NA,36.89,58.95,48.46,113.89,24.13,62.3,45.11,54.23,49.46,87.77,68.98,51.35,29.54,24.11,65,74.85,43.42,47.02,83.54,13468.8
"2007-08-07",36.61,135.03,65.55,60.43,103.22,48.59,80.44,47.4,34.55,39.48,NA,36.4,58.87,48.48,113.53,24.13,62.08,45.34,54.46,49.73,88.03,69.22,51.63,29.55,24.35,65.23,74.15,43.11,47.06,85.7,13504.3
"2007-08-08",37.09,134.01,66.48,62.96,102.72,49.49,80.9,49.43,34.29,40.46,NA,37.8,57.75,49.4,112.98,24.68,62.49,46.51,55.86,50.29,88.15,69.6,52.36,30,24.61,65.16,74.05,43.19,48.42,87.9,13657.9
"2007-08-09",35.44,126.39,64.3,60.65,98.3,46.9,78.48,49.06,33,38.94,NA,35.79,56.78,47.02,110.73,23.92,60.83,44.17,55.85,49.93,86.86,67.67,51.44,29.3,24.14,64.97,72.37,41.92,46.45,83.6,13270.7
"2007-08-10",34.69,125,64.67,60.78,98.44,47,77.55,48.59,33.16,38.23,NA,35.92,56.01,47.21,112.64,23.98,61.15,44.25,54.98,49.41,85.97,67.39,50.88,28.71,23.99,65.39,73.08,41.33,46.07,84.51,13239.5
"2007-08-13",35.54,127.79,64.78,59.45,100.05,46.54,77.9,47.95,33.24,38.17,NA,35.24,56.49,48.43,112.71,24.02,61.45,43.83,54.52,48.71,86.25,67.41,50.56,28.63,23.89,64.28,74.01,41.65,46.17,82.92,13236.5
"2007-08-14",34.86,124.03,63.43,57.3,97.63,45.66,76.77,47.16,32.36,37.68,NA,33.52,56.37,47.28,112.05,23.8,61.13,43.3,54.14,48,85.76,66.82,49.93,28.27,23.58,63.72,72.78,40.96,43.82,83.13,13028.9
"2007-08-15",33.7,119.9,63.22,56.74,95.51,45.61,74.95,46.92,31.71,36.9,NA,33.36,54.72,46.15,111.23,23.22,61.3,43,53.83,47.56,85.06,65.98,49.78,28.1,23.53,63.48,71.63,40.5,43.28,81.69,12861.5
"2007-08-16",31.92,117.05,63.95,58.17,92.74,47.55,73,48,32.58,37.2,NA,32.82,54.12,46.05,109.69,23.1,61.63,45.47,53.58,48.07,85.4,66.36,49.46,27.81,23.39,64.03,71.08,40.23,43.5,80.67,12845.8
"2007-08-17",33.29,122.06,65.96,58.89,95.93,48.81,72.64,47.31,32.68,38.45,NA,33.31,54.46,47.15,110.9,23.7,62.02,47.01,54.45,47.57,87.83,67.59,49.62,28.25,23.94,65.35,73.82,40.8,43.49,84.14,13079.1
"2007-08-20",34.32,122.22,65.75,58.68,97.21,48.39,74.05,47.74,32.91,38.22,NA,33.79,55.82,46.58,109.22,24.11,61.83,46.49,54.52,48.29,88.27,67,49.98,28.26,24.17,65.01,74.7,41.11,43.59,84.53,13121.3
"2007-08-21",34.6,127.57,65.81,59.14,96.95,48.06,74.28,47.75,33.29,38.35,NA,34.3,55.02,46.01,109.04,23.89,61.67,46.2,54.03,48.47,88.46,67.22,49.77,28.07,24.24,64.46,72.94,41.71,43.7,83.15,13090.9
"2007-08-22",36.22,132.51,66.69,60.13,97.99,48.43,75.3,48.92,33.57,39.14,NA,34.77,55.82,46.42,110,24.15,62.01,46,53.95,49.36,89.07,68.24,50.36,28.22,24.65,64.74,73.87,41.82,43.75,83.58,13236.1
"2007-08-23",35.77,131.07,67.08,60.03,96.74,48.35,75.17,48.94,33.16,39.12,NA,34.02,55.87,47.65,111.45,24.23,62.11,45.67,53.98,49.85,88.75,68.63,50.5,28.3,24.62,65.04,73.3,42.15,43.17,83.75,13235.9
"2007-08-24",36.69,135.3,67.6,60.89,98.47,48.5,76.32,49.08,33.87,39.41,NA,34.68,55.8,48.1,113.24,24.79,61.88,45.95,54,50.12,89.15,69.19,50.82,28.81,24.74,65.93,74.33,42.64,43.74,85.69,13378.9
"2007-08-27",36.98,132.25,67.05,59.96,98.54,47.79,76,48.83,33.84,39,NA,35.25,56.9,47.79,113.44,24.45,61.6,44.91,54.01,49.47,88.7,70.08,50.12,28.49,24.76,65.23,73.72,42.59,43.82,85.12,13322.1
"2007-08-28",35.36,126.82,65.23,57.35,95.65,46.14,74.16,48.12,33.2,38.05,NA,35.05,55.59,46.88,112,23.96,61.25,43.6,53.26,48.64,87.62,69.07,49.21,27.93,24.47,64.7,72,41.52,43.4,83,13041.8
"2007-08-29",36.39,134.08,66.13,58.14,96.9,46.95,75.04,48.7,33.89,38.71,NA,36.55,57,48.42,114.57,25.09,61.86,44.13,53.51,49.19,88.76,69.8,49.92,28.59,24.67,65.12,74.35,42.23,44.19,85.23,13289.3
"2007-08-30",36.15,136.25,65.6,57.72,96.85,46.23,74.66,48.44,33.47,38.4,NA,37.04,56.29,48.44,115.37,25.28,61.6,43.97,53.4,48.83,89.36,69.25,49.66,28.45,24.55,65.01,73.84,41.93,43.32,85.4,13238.7
"2007-08-31",36.53,138.48,66,58.62,96.7,46.88,75.77,48.75,33.6,38.87,NA,38.31,56.15,49.35,116.69,25.75,61.79,44.52,53.78,49.25,90.99,69.41,50.17,28.73,24.84,65.31,74.63,41.88,43.63,85.73,13357.7
"2007-09-04",36.41,144.16,66.56,60.77,95.92,47.21,76.85,49,34.13,39.04,NA,36.36,56.36,50.14,118.19,26.18,61.98,45.3,54.37,49.66,91.15,69.67,50.04,28.81,25.08,65.45,74.43,42.67,43.3,87.23,13448.9
"2007-09-05",36.48,136.76,65.5,59.32,95.84,46,75.54,48.4,34.04,38.75,NA,36.51,55.24,50.1,117.88,25.99,61.65,44.17,53.69,49.24,89.92,68.63,49.4,28.48,24.71,65.46,73.45,41.95,42.45,87.22,13305.5
"2007-09-06",36.5,135.01,64.74,59.4,96.2,45.66,75.75,48.42,34.41,39.4,NA,35.22,56.66,50.19,117.62,26.15,61.66,44.21,54.66,49.76,90.63,68.27,50.47,28.91,24.62,66.11,75.01,42.26,42.76,87.49,13363.3
"2007-09-07",34.87,131.77,63.55,57.75,94.84,45.48,73.44,47.5,33.59,38.75,NA,34.21,54.71,48.85,115.55,25.47,61.68,43.52,54.59,49.24,88.92,67.39,49.57,28.44,24.25,65.47,73.79,41.34,42.39,85.75,13113.4
"2007-09-10",34.05,136.71,64.15,58.71,95.33,45.3,73.74,47.29,33.56,39.19,NA,33.81,55.06,49,115.8,25.35,61.84,43.93,54.57,50.15,87.82,67.3,49.81,28.48,23.96,65.9,74.49,41.25,42.27,84.86,13127.8
"2007-09-11",34.2,135.49,64.91,59.37,97.44,46.01,73.89,47.57,33.49,39.5,NA,34.87,56.22,49.87,117.35,25.66,62.05,44.54,55.66,51.76,88.24,67.74,49.95,28.93,24.19,66.99,74.67,41.87,42.94,86.94,13308.4
"2007-09-12",33.65,136.85,64.69,59.48,98.32,45.76,72.77,47.66,33.72,39.9,NA,35.09,55.97,48.76,116,25.46,62.51,44.47,55.84,51.2,89.08,67.5,49.67,28.93,24.19,67.31,74.84,41.87,42.71,87.65,13291.7
"2007-09-13",34.42,137.2,65.1,60.6,98.95,46.36,72.99,47.89,33.52,40.51,NA,35.61,56.3,48.77,115.95,25.35,63.11,45.6,55.87,54.3,89.09,67.13,49.86,29.16,24.23,67.46,75.02,42.61,43.06,88.62,13424.9
"2007-09-14",35.48,138.81,64.96,58.94,99.35,46.64,73.16,48.04,33.56,40.35,NA,35.68,56.44,48.38,115.13,24.93,63.2,45.54,56.4,55.45,89.02,67.03,49.54,29.04,24.29,67.81,76.14,42.52,43.32,88.67,13442.5
"2007-09-17",35.23,138.41,64.97,58.2,98.64,46.03,73.69,47.78,33.38,40.18,NA,35.38,56.34,49.14,114.52,24.85,62.94,45.29,55.28,54.64,88.93,67,49.41,28.73,24.13,67.95,75.83,42.59,43.32,89.26,13403.4
"2007-09-18",36.89,140.92,66.85,60.8,98.47,48.37,77.46,49.3,34.58,41.68,NA,36.36,57.28,50.17,116.63,25.41,63.83,47.82,56.41,55.02,91.66,68.06,50.57,28.93,24.54,68.68,78.16,43.31,44.44,91.76,13739.4
"2007-09-19",37.28,140.77,67.56,60.95,100.02,48.27,77.91,49.88,34.56,41.77,NA,36.18,58.26,49.78,116.67,25.68,64.49,47.57,56.62,55.41,91.96,68.73,51.56,28.67,24.88,68.79,78.9,43.78,44.75,92.12,13815.5
"2007-09-20",37.28,140.31,67.14,60.12,101.25,47.2,77.37,49.9,34.04,41.24,NA,35.32,58.17,50.1,116.86,25.81,64.79,46.96,56.31,54.87,91.44,68.62,51.38,28.42,24.52,68.98,78.73,43.8,44.32,92.09,13766.7
